,path,emotion
35,data/train-custom\Dervla_high_emottsangry_0148_angry.wav,angry
36,data/train-custom\Dervla_high_emottsangry_0149_angry.wav,angry
37,data/train-custom\Dervla_high_emottsangry_0150_angry.wav,angry
38,data/train-custom\Dervla_high_emottsangry_0161_angry.wav,angry
39,data/train-custom\Dervla_high_emottsangry_0162_angry.wav,angry
40,data/train-custom\Dervla_high_emottsangry_0163_angry.wav,angry
41,data/train-custom\Dervla_high_emottsangry_0165_angry.wav,angry
42,data/train-custom\Dervla_high_emottsangry_0176_angry.wav,angry
43,data/train-custom\Dervla_high_emottsangry_0177_angry.wav,angry
44,data/train-custom\Dervla_high_emottsangry_0179_angry.wav,angry
45,data/train-custom\Dervla_high_emottsangry_0180_angry.wav,angry
46,data/train-custom\Dervla_high_emottsangry_0191_angry.wav,angry
47,data/train-custom\Dervla_high_emottsangry_0192_angry.wav,angry
48,data/train-custom\Dervla_high_emottsangry_0193_angry.wav,angry
49,data/train-custom\Dervla_high_emottsangry_0195_angry.wav,angry
50,data/train-custom\Dervla_high_emottsangry_0201_angry.wav,angry
51,data/train-custom\Dervla_high_emottsangry_0202_angry.wav,angry
52,data/train-custom\Dervla_high_emottsangry_0203_angry.wav,angry
53,data/train-custom\Dervla_high_emottsangry_0204_angry.wav,angry
54,data/train-custom\Dervla_high_emottsangry_0205_angry.wav,angry
55,data/train-custom\Dervla_high_emottsangry_0217_angry.wav,angry
56,data/train-custom\Dervla_high_emottsangry_0219_angry.wav,angry
57,data/train-custom\Dervla_high_emottsangry_0233_angry.wav,angry
58,data/train-custom\Dervla_high_emottsangry_0235_angry.wav,angry
59,data/train-custom\Dervla_high_emottsangry_0247_angry.wav,angry
60,data/train-custom\Dervla_high_emottsangry_0248_angry.wav,angry
61,data/train-custom\Dervla_high_emottsangry_0249_angry.wav,angry
62,data/train-custom\Dervla_high_emottsangry_0263_angry.wav,angry
63,data/train-custom\Dervla_high_emottsangry_0264_angry.wav,angry
64,data/train-custom\Dervla_high_emottsangry_0265_angry.wav,angry
65,data/train-custom\Dervla_high_emottsangry_0276_angry.wav,angry
66,data/train-custom\Dervla_high_emottsangry_0277_angry.wav,angry
67,data/train-custom\Dervla_high_emottsangry_0278_angry.wav,angry
68,data/train-custom\Dervla_high_emottsangry_0279_angry.wav,angry
69,data/train-custom\Dervla_high_emottsangry_0280_angry.wav,angry
70,data/train-custom\Dervla_high_emottsangry_0291_angry.wav,angry
71,data/train-custom\Dervla_high_emottsangry_0292_angry.wav,angry
72,data/train-custom\Dervla_high_emottsangry_0293_angry.wav,angry
73,data/train-custom\Dervla_high_emottsangry_0294_angry.wav,angry
74,data/train-custom\Dervla_high_emottsangry_0295_angry.wav,angry
75,data/train-custom\Dervla_high_emottsangry_0306_angry.wav,angry
76,data/train-custom\Dervla_high_emottsangry_0307_angry.wav,angry
77,data/train-custom\Dervla_high_emottsangry_0308_angry.wav,angry
78,data/train-custom\Dervla_high_emottsangry_0309_angry.wav,angry
79,data/train-custom\Dervla_high_emottsangry_0310_angry.wav,angry
80,data/train-custom\Dervla_high_emottsangry_0332_angry.wav,angry
81,data/train-custom\Dervla_high_emottsangry_0333_angry.wav,angry
82,data/train-custom\Dervla_high_emottsangry_0334_angry.wav,angry
83,data/train-custom\Dervla_high_emottsangry_0335_angry.wav,angry
84,data/train-custom\Dervla_high_emottsangry_0346_angry.wav,angry
85,data/train-custom\Dervla_high_emottsangry_0347_angry.wav,angry
86,data/train-custom\Dervla_high_emottsangry_0348_angry.wav,angry
87,data/train-custom\Dervla_high_emottsangry_0349_angry.wav,angry
88,data/train-custom\Dervla_high_emottsangry_0350_angry.wav,angry
89,data/train-custom\Dervla_high_emottsangry_0361_angry.wav,angry
90,data/train-custom\Dervla_high_emottsangry_0362_angry.wav,angry
91,data/train-custom\Dervla_high_emottsangry_0364_angry.wav,angry
92,data/train-custom\Dervla_high_emottsangry_0365_angry.wav,angry
93,data/train-custom\Dervla_high_emottsangry_0377_angry.wav,angry
94,data/train-custom\Dervla_high_emottsangry_0380_angry.wav,angry
95,data/train-custom\Dervla_high_emottsangry_0391_angry.wav,angry
96,data/train-custom\Dervla_high_emottsangry_0392_angry.wav,angry
97,data/train-custom\Dervla_high_emottsangry_0393_angry.wav,angry
98,data/train-custom\Dervla_high_emottsangry_0394_angry.wav,angry
99,data/train-custom\Dervla_high_emottsangry_0395_angry.wav,angry
100,data/train-custom\Dervla_high_emottsangry_0407_angry.wav,angry
101,data/train-custom\Dervla_high_emottsangry_0409_angry.wav,angry
102,data/train-custom\Dervla_high_emottsangry_0410_angry.wav,angry
103,data/train-custom\Dervla_high_emottsangry_0426_angry.wav,angry
104,data/train-custom\Dervla_high_emottsangry_0427_angry.wav,angry
105,data/train-custom\Dervla_high_emottsangry_0429_angry.wav,angry
106,data/train-custom\Dervla_high_emottsangry_0430_angry.wav,angry
107,data/train-custom\Dervla_high_emottsangry_0441_angry.wav,angry
108,data/train-custom\Dervla_high_emottsangry_0442_angry.wav,angry
109,data/train-custom\Dervla_high_emottsangry_0443_angry.wav,angry
110,data/train-custom\Dervla_high_emottsangry_0444_angry.wav,angry
111,data/train-custom\Dervla_high_emottsangry_0456_angry.wav,angry
112,data/train-custom\Dervla_high_emottsangry_0458_angry.wav,angry
113,data/train-custom\Dervla_high_emottsangry_0459_angry.wav,angry
114,data/train-custom\Dervla_high_emottsangry_0460_angry.wav,angry
115,data/train-custom\Dervla_high_emottsangry_0471_angry.wav,angry
116,data/train-custom\Dervla_high_emottsangry_0472_angry.wav,angry
117,data/train-custom\Dervla_high_emottsangry_0473_angry.wav,angry
118,data/train-custom\Dervla_high_emottsangry_0474_angry.wav,angry
119,data/train-custom\Dervla_high_emottsangry_0475_angry.wav,angry
120,data/train-custom\Dervla_high_emottsangry_0486_angry.wav,angry
121,data/train-custom\Dervla_high_emottsangry_0488_angry.wav,angry
122,data/train-custom\Dervla_high_emottsangry_0489_angry.wav,angry
123,data/train-custom\Dervla_high_emottsangry_0490_angry.wav,angry
124,data/train-custom\Dervla_high_emottsangry_0501_angry.wav,angry
125,data/train-custom\Dervla_high_emottsangry_0502_angry.wav,angry
126,data/train-custom\Dervla_high_emottsangry_0504_angry.wav,angry
127,data/train-custom\Dervla_high_emottsangry_0526_angry.wav,angry
128,data/train-custom\Dervla_high_emottsangry_0527_angry.wav,angry
129,data/train-custom\Dervla_high_emottsangry_0528_angry.wav,angry
130,data/train-custom\Dervla_high_emottsangry_0529_angry.wav,angry
131,data/train-custom\Dervla_high_emottsangry_0530_angry.wav,angry
132,data/train-custom\Dervla_high_emottsangry_0542_angry.wav,angry
133,data/train-custom\Dervla_high_emottsangry_0543_angry.wav,angry
134,data/train-custom\Dervla_high_emottsangry_0544_angry.wav,angry
135,data/train-custom\Dervla_high_emottsangry_0545_angry.wav,angry
136,data/train-custom\Dervla_high_emottsangry_0556_angry.wav,angry
137,data/train-custom\Dervla_high_emottsangry_0557_angry.wav,angry
138,data/train-custom\Dervla_high_emottsangry_0558_angry.wav,angry
139,data/train-custom\Dervla_high_emottsangry_0559_angry.wav,angry
140,data/train-custom\Dervla_high_emottsangry_0560_angry.wav,angry
141,data/train-custom\Dervla_high_emottsangry_0572_angry.wav,angry
142,data/train-custom\Dervla_high_emottsangry_0574_angry.wav,angry
143,data/train-custom\Dervla_high_emottsangry_0575_angry.wav,angry
144,data/train-custom\Dervla_high_emottsangry_0586_angry.wav,angry
145,data/train-custom\Dervla_high_emottsangry_0587_angry.wav,angry
146,data/train-custom\Dervla_high_emottsangry_0588_angry.wav,angry
147,data/train-custom\Dervla_high_emottsangry_0590_angry.wav,angry
148,data/train-custom\Dervla_high_emottsangry_0602_angry.wav,angry
149,data/train-custom\Dervla_high_emottsangry_0603_angry.wav,angry
150,data/train-custom\Dervla_high_emottsangry_0604_angry.wav,angry
151,data/train-custom\Dervla_high_emottsangry_0605_angry.wav,angry
152,data/train-custom\Dervla_high_emottsangry_0616_angry.wav,angry
153,data/train-custom\Dervla_high_emottsangry_0631_angry.wav,angry
154,data/train-custom\Dervla_high_emottsangry_0632_angry.wav,angry
155,data/train-custom\Dervla_high_emottsangry_0633_angry.wav,angry
156,data/train-custom\Dervla_high_emottsangry_0634_angry.wav,angry
157,data/train-custom\Dervla_high_emottsangry_0635_angry.wav,angry
158,data/train-custom\Dervla_high_emottsangry_0646_angry.wav,angry
159,data/train-custom\Dervla_high_emottsangry_0647_angry.wav,angry
160,data/train-custom\Dervla_high_emottsangry_0648_angry.wav,angry
161,data/train-custom\Dervla_high_emottsangry_0650_angry.wav,angry
162,data/train-custom\Dervla_high_emottsangry_0663_angry.wav,angry
163,data/train-custom\Dervla_high_emottsangry_0664_angry.wav,angry
164,data/train-custom\Dervla_high_emottsangry_0665_angry.wav,angry
165,data/train-custom\Dervla_high_emottsangry_0676_angry.wav,angry
166,data/train-custom\Dervla_high_emottsangry_0677_angry.wav,angry
167,data/train-custom\Dervla_high_emottsangry_0678_angry.wav,angry
168,data/train-custom\Dervla_high_emottsangry_0679_angry.wav,angry
169,data/train-custom\Dervla_high_emottsangry_0680_angry.wav,angry
170,data/train-custom\Dervla_high_emottsangry_0691_angry.wav,angry
171,data/train-custom\Dervla_high_emottsangry_0692_angry.wav,angry
172,data/train-custom\Dervla_high_emottsangry_0693_angry.wav,angry
173,data/train-custom\Dervla_high_emottsangry_0694_angry.wav,angry
174,data/train-custom\Dervla_high_emottsangry_0695_angry.wav,angry
175,data/train-custom\Dervla_high_emottsangry_0707_angry.wav,angry
176,data/train-custom\Dervla_high_emottsangry_0708_angry.wav,angry
177,data/train-custom\Dervla_high_emottsangry_0709_angry.wav,angry
178,data/train-custom\Dervla_high_emottsangry_0710_angry.wav,angry
179,data/train-custom\Dervla_high_emottsangry_0723_angry.wav,angry
180,data/train-custom\Dervla_high_emottsangry_0725_angry.wav,angry
181,data/train-custom\Dervla_high_emottsangry_0736_angry.wav,angry
182,data/train-custom\Dervla_high_emottsangry_0737_angry.wav,angry
183,data/train-custom\Dervla_high_emottsangry_0738_angry.wav,angry
184,data/train-custom\Dervla_high_emottsangry_0740_angry.wav,angry
185,data/train-custom\Dervla_high_emottsangry_0751_angry.wav,angry
186,data/train-custom\Dervla_high_emottsangry_0752_angry.wav,angry
187,data/train-custom\Dervla_high_emottsangry_0753_angry.wav,angry
188,data/train-custom\Dervla_high_emottsangry_0754_angry.wav,angry
189,data/train-custom\Dervla_high_emottsangry_0755_angry.wav,angry
190,data/train-custom\Dervla_high_emottsangry_0767_angry.wav,angry
191,data/train-custom\Dervla_high_emottsangry_0769_angry.wav,angry
192,data/train-custom\Dervla_high_emottsangry_0770_angry.wav,angry
193,data/train-custom\Dervla_high_emottsangry_0782_angry.wav,angry
194,data/train-custom\Dervla_high_emottsangry_0783_angry.wav,angry
195,data/train-custom\Dervla_high_emottsangry_0784_angry.wav,angry
196,data/train-custom\Dervla_high_emottsangry_0785_angry.wav,angry
197,data/train-custom\Dervla_high_emottsangry_0797_angry.wav,angry
198,data/train-custom\Dervla_high_emottsangry_0799_angry.wav,angry
199,data/train-custom\Dervla_high_emottsangry_0811_angry.wav,angry
200,data/train-custom\Dervla_high_emottsangry_0812_angry.wav,angry
201,data/train-custom\Dervla_high_emottsangry_0813_angry.wav,angry
202,data/train-custom\Dervla_high_emottsangry_0814_angry.wav,angry
203,data/train-custom\Dervla_high_emottsangry_0815_angry.wav,angry
204,data/train-custom\Dervla_high_emottsangry_0827_angry.wav,angry
205,data/train-custom\Dervla_high_emottsangry_0828_angry.wav,angry
206,data/train-custom\Dervla_high_emottsangry_0830_angry.wav,angry
207,data/train-custom\Dervla_high_emottsangry_0841_angry.wav,angry
208,data/train-custom\Dervla_high_emottsangry_0842_angry.wav,angry
209,data/train-custom\Dervla_high_emottsangry_0843_angry.wav,angry
210,data/train-custom\Dervla_high_emottsangry_0844_angry.wav,angry
211,data/train-custom\Dervla_high_emottsangry_0845_angry.wav,angry
212,data/train-custom\Dervla_high_emottsangry_0856_angry.wav,angry
213,data/train-custom\Dervla_high_emottsangry_0857_angry.wav,angry
214,data/train-custom\Dervla_high_emottsangry_0858_angry.wav,angry
215,data/train-custom\Dervla_high_emottsangry_0859_angry.wav,angry
216,data/train-custom\Dervla_high_emottsangry_0871_angry.wav,angry
217,data/train-custom\Dervla_high_emottsangry_0872_angry.wav,angry
218,data/train-custom\Dervla_high_emottsangry_0873_angry.wav,angry
219,data/train-custom\Dervla_high_emottsangry_0874_angry.wav,angry
220,data/train-custom\Dervla_high_emottsangry_0875_angry.wav,angry
221,data/train-custom\Dervla_high_emottsangry_0886_angry.wav,angry
222,data/train-custom\Dervla_high_emottsangry_0887_angry.wav,angry
223,data/train-custom\Dervla_high_emottsangry_0889_angry.wav,angry
224,data/train-custom\Dervla_high_emottsangry_0890_angry.wav,angry
225,data/train-custom\Dervla_high_emottsangry_0901_angry.wav,angry
226,data/train-custom\Dervla_high_emottsangry_0902_angry.wav,angry
227,data/train-custom\Dervla_high_emottsangry_0903_angry.wav,angry
228,data/train-custom\Dervla_high_emottsangry_0904_angry.wav,angry
229,data/train-custom\Dervla_high_emottsangry_0916_angry.wav,angry
230,data/train-custom\Dervla_high_emottsangry_0917_angry.wav,angry
231,data/train-custom\Dervla_high_emottsangry_0918_angry.wav,angry
232,data/train-custom\Dervla_high_emottsangry_0931_angry.wav,angry
233,data/train-custom\Dervla_high_emottsangry_0932_angry.wav,angry
234,data/train-custom\Dervla_high_emottsangry_0933_angry.wav,angry
235,data/train-custom\Dervla_high_emottsangry_0934_angry.wav,angry
236,data/train-custom\Dervla_high_emottsangry_0935_angry.wav,angry
237,data/train-custom\Dervla_high_emottsangry_0946_angry.wav,angry
238,data/train-custom\Dervla_high_emottsangry_0947_angry.wav,angry
239,data/train-custom\Dervla_high_emottsangry_0948_angry.wav,angry
240,data/train-custom\Dervla_high_emottsangry_0949_angry.wav,angry
241,data/train-custom\Dervla_high_emottsangry_0964_angry.wav,angry
242,data/train-custom\Dervla_high_emottsangry_0965_angry.wav,angry
243,data/train-custom\Dervla_high_emottsangry_0976_angry.wav,angry
244,data/train-custom\Dervla_high_emottsangry_0977_angry.wav,angry
245,data/train-custom\Dervla_high_emottsangry_0979_angry.wav,angry
246,data/train-custom\Dervla_high_emottsangry_0991_angry.wav,angry
247,data/train-custom\Dervla_high_emottsangry_0993_angry.wav,angry
248,data/train-custom\Dervla_high_emottsangry_0994_angry.wav,angry
249,data/train-custom\Dervla_high_emottsangry_0995_angry.wav,angry
250,data/train-custom\Dervla_high_emottsangry_1009_angry.wav,angry
251,data/train-custom\Dervla_high_emottsangry_1010_angry.wav,angry
252,data/train-custom\Dervla_high_emottsangry_1011_angry.wav,angry
253,data/train-custom\Dervla_high_emottsangry_1012_angry.wav,angry
254,data/train-custom\Dervla_high_emottsangry_1022_angry.wav,angry
255,data/train-custom\Dervla_high_emottsangry_1023_angry.wav,angry
256,data/train-custom\Dervla_high_emottsangry_1024_angry.wav,angry
257,data/train-custom\Dervla_high_emottsangry_1034_angry.wav,angry
258,data/train-custom\Dervla_high_emottsangry_1035_angry.wav,angry
259,data/train-custom\Dervla_high_emottsangry_1036_angry.wav,angry
260,data/train-custom\Dervla_high_emottsangry_1047_angry.wav,angry
261,data/train-custom\Dervla_high_emottsangry_1057_angry.wav,angry
262,data/train-custom\Dervla_high_emottsangry_1058_angry.wav,angry
263,data/train-custom\Dervla_high_emottsangry_1060_angry.wav,angry
264,data/train-custom\Dervla_high_emottsangry_1071_angry.wav,angry
265,data/train-custom\Dervla_high_emottsangry_1072_angry.wav,angry
266,data/train-custom\Dervla_high_emottsangry_1081_angry.wav,angry
267,data/train-custom\Dervla_high_emottsangry_1082_angry.wav,angry
268,data/train-custom\Dervla_high_emottsangry_1083_angry.wav,angry
269,data/train-custom\Dervla_high_emottsangry_1084_angry.wav,angry
270,data/train-custom\Dervla_high_emottsangry_1094_angry.wav,angry
271,data/train-custom\Dervla_high_emottsangry_1095_angry.wav,angry
272,data/train-custom\Dervla_high_emottsangry_1096_angry.wav,angry
273,data/train-custom\Dervla_high_emottsangry_1105_angry.wav,angry
274,data/train-custom\Dervla_high_emottsangry_1106_angry.wav,angry
275,data/train-custom\Dervla_high_emottsangry_1107_angry.wav,angry
276,data/train-custom\Dervla_high_emottsangry_1108_angry.wav,angry
277,data/train-custom\Dervla_high_emottsangry_1117_angry.wav,angry
278,data/train-custom\Dervla_high_emottsangry_1118_angry.wav,angry
279,data/train-custom\Dervla_high_emottsangry_1120_angry.wav,angry
280,data/train-custom\Dervla_high_emottsangry_1130_angry.wav,angry
281,data/train-custom\Dervla_high_emottsangry_1131_angry.wav,angry
282,data/train-custom\Dervla_high_emottsangry_1141_angry.wav,angry
283,data/train-custom\Dervla_high_emottsangry_1143_angry.wav,angry
284,data/train-custom\Dervla_high_emottsangry_1144_angry.wav,angry
285,data/train-custom\Dervla_high_emottsangry_1153_angry.wav,angry
286,data/train-custom\Dervla_high_emottsangry_1154_angry.wav,angry
287,data/train-custom\Dervla_high_emottsangry_1155_angry.wav,angry
288,data/train-custom\Dervla_high_emottsangry_1156_angry.wav,angry
289,data/train-custom\Dervla_high_emottsangry_1165_angry.wav,angry
290,data/train-custom\Dervla_high_emottsangry_1167_angry.wav,angry
291,data/train-custom\Dervla_high_emottsangry_1179_angry.wav,angry
292,data/train-custom\Dervla_high_emottsangry_1180_angry.wav,angry
293,data/train-custom\Dervla_high_emottsangry_1189_angry.wav,angry
294,data/train-custom\Dervla_high_emottsangry_1191_angry.wav,angry
295,data/train-custom\Dervla_high_emottsangry_1192_angry.wav,angry
296,data/train-custom\Dervla_high_emottsangry_1201_angry.wav,angry
297,data/train-custom\Dervla_high_emottsangry_1202_angry.wav,angry
298,data/train-custom\Dervla_high_emottsangry_1203_angry.wav,angry
299,data/train-custom\Dervla_high_emottsangry_1204_angry.wav,angry
300,data/train-custom\Dervla_high_emottsangry_1214_angry.wav,angry
301,data/train-custom\Dervla_high_emottsangry_1216_angry.wav,angry
302,data/train-custom\Dervla_high_emottsangry_1225_angry.wav,angry
303,data/train-custom\Dervla_high_emottsangry_1226_angry.wav,angry
304,data/train-custom\Dervla_high_emottsangry_1227_angry.wav,angry
305,data/train-custom\Dervla_high_emottsangry_1240_angry.wav,angry
306,data/train-custom\Dervla_high_emottsangry_1249_angry.wav,angry
307,data/train-custom\Dervla_high_emottsangry_1251_angry.wav,angry
308,data/train-custom\Dervla_high_emottsangry_1252_angry.wav,angry
309,data/train-custom\Dervla_high_emottsangry_1261_angry.wav,angry
310,data/train-custom\Dervla_high_emottsangry_1264_angry.wav,angry
311,data/train-custom\Dervla_high_emottsangry_1273_angry.wav,angry
312,data/train-custom\Dervla_high_emottsangry_1275_angry.wav,angry
313,data/train-custom\Dervla_high_emottsangry_1276_angry.wav,angry
314,data/train-custom\Dervla_high_emottsangry_1285_angry.wav,angry
315,data/train-custom\Dervla_high_emottsangry_1286_angry.wav,angry
316,data/train-custom\Dervla_high_emottsangry_1287_angry.wav,angry
317,data/train-custom\Dervla_high_emottsangry_1288_angry.wav,angry
318,data/train-custom\Dervla_high_emottsangry_1297_angry.wav,angry
319,data/train-custom\Dervla_high_emottsangry_1298_angry.wav,angry
320,data/train-custom\Dervla_high_emottsangry_1299_angry.wav,angry
321,data/train-custom\Dervla_high_emottsangry_1300_angry.wav,angry
322,data/train-custom\Dervla_high_emottsangry_1309_angry.wav,angry
323,data/train-custom\Dervla_high_emottsangry_1311_angry.wav,angry
324,data/train-custom\Dervla_high_emottsangry_1321_angry.wav,angry
325,data/train-custom\Dervla_high_emottsangry_1322_angry.wav,angry
326,data/train-custom\Dervla_high_emottsangry_1323_angry.wav,angry
327,data/train-custom\Dervla_high_emottsangry_1334_angry.wav,angry
328,data/train-custom\Dervla_high_emottsangry_1336_angry.wav,angry
329,data/train-custom\Dervla_high_emottsangry_1345_angry.wav,angry
330,data/train-custom\Dervla_high_emottsangry_1346_angry.wav,angry
331,data/train-custom\Dervla_high_emottsangry_1348_angry.wav,angry
332,data/train-custom\Dervla_high_emottsangry_1358_angry.wav,angry
333,data/train-custom\Dervla_high_emottsangry_1359_angry.wav,angry
334,data/train-custom\Dervla_high_emottsangry_1360_angry.wav,angry
335,data/train-custom\Dervla_high_emottsangry_1369_angry.wav,angry
336,data/train-custom\Dervla_high_emottsangry_1370_angry.wav,angry
337,data/train-custom\Dervla_high_emottsangry_1371_angry.wav,angry
338,data/train-custom\Dervla_high_emottsangry_1372_angry.wav,angry
339,data/train-custom\Dervla_high_emottsangry_1381_angry.wav,angry
340,data/train-custom\Dervla_high_emottsangry_1383_angry.wav,angry
341,data/train-custom\Dervla_high_emottsangry_1384_angry.wav,angry
342,data/train-custom\Dervla_high_emottsangry_1394_angry.wav,angry
343,data/train-custom\Dervla_high_emottsangry_1405_angry.wav,angry
344,data/train-custom\Dervla_high_emottsangry_1406_angry.wav,angry
345,data/train-custom\Dervla_high_emottsangry_1407_angry.wav,angry
346,data/train-custom\Dervla_high_emottsangry_1408_angry.wav,angry
347,data/train-custom\Dervla_high_emottsangry_1418_angry.wav,angry
348,data/train-custom\Dervla_high_emottsangry_1419_angry.wav,angry
349,data/train-custom\Dervla_high_emottsangry_1420_angry.wav,angry
350,data/train-custom\Dervla_high_emottsangry_1430_angry.wav,angry
351,data/train-custom\Dervla_high_emottsangry_1431_angry.wav,angry
352,data/train-custom\Dervla_high_emottsangry_1432_angry.wav,angry
353,data/train-custom\Dervla_high_emottsangry_1442_angry.wav,angry
354,data/train-custom\Dervla_high_emottsangry_1443_angry.wav,angry
355,data/train-custom\Dervla_high_emottsangry_1453_angry.wav,angry
356,data/train-custom\Dervla_high_emottsangry_1454_angry.wav,angry
357,data/train-custom\Dervla_high_emottsangry_1455_angry.wav,angry
358,data/train-custom\Dervla_high_emottsangry_1456_angry.wav,angry
359,data/train-custom\Dervla_high_emottsangry_1466_angry.wav,angry
360,data/train-custom\Dervla_high_emottsangry_1467_angry.wav,angry
361,data/train-custom\Dervla_high_emottsangry_1477_angry.wav,angry
362,data/train-custom\Dervla_high_emottsangry_1478_angry.wav,angry
363,data/train-custom\Dervla_high_emottsangry_1479_angry.wav,angry
364,data/train-custom\Dervla_high_emottsangry_1480_angry.wav,angry
365,data/train-custom\Dervla_high_emottsangry_1490_angry.wav,angry
366,data/train-custom\Dervla_high_emottsangry_1501_angry.wav,angry
367,data/train-custom\Dervla_high_emottsangry_1503_angry.wav,angry
368,data/train-custom\Dervla_high_emottsangry_1504_angry.wav,angry
369,data/train-custom\Dervla_high_emottsangry_1513_angry.wav,angry
370,data/train-custom\Dervla_high_emottsangry_1514_angry.wav,angry
371,data/train-custom\Dervla_high_emottsangry_1515_angry.wav,angry
372,data/train-custom\Dervla_high_emottsangry_1516_angry.wav,angry
373,data/train-custom\Dervla_high_emottsangry_1527_angry.wav,angry
374,data/train-custom\Dervla_high_emottsangry_1528_angry.wav,angry
375,data/train-custom\Dervla_high_emottsangry_1537_angry.wav,angry
376,data/train-custom\Dervla_high_emottsangry_1538_angry.wav,angry
377,data/train-custom\Dervla_high_emottsangry_1539_angry.wav,angry
378,data/train-custom\Dervla_high_emottsangry_1549_angry.wav,angry
379,data/train-custom\Dervla_high_emottsangry_1550_angry.wav,angry
380,data/train-custom\Dervla_high_emottsangry_1551_angry.wav,angry
381,data/train-custom\Dervla_high_emottsangry_1552_angry.wav,angry
382,data/train-custom\Dervla_high_emottsangry_1561_angry.wav,angry
383,data/train-custom\Dervla_high_emottsangry_1562_angry.wav,angry
384,data/train-custom\Dervla_high_emottsangry_1563_angry.wav,angry
385,data/train-custom\Dervla_high_emottsangry_1564_angry.wav,angry
386,data/train-custom\Dervla_high_emottsangry_1573_angry.wav,angry
387,data/train-custom\Dervla_high_emottsangry_1574_angry.wav,angry
388,data/train-custom\Dervla_high_emottsangry_1575_angry.wav,angry
389,data/train-custom\Dervla_high_emottsangry_1586_angry.wav,angry
390,data/train-custom\Dervla_high_emottsangry_1587_angry.wav,angry
391,data/train-custom\Dervla_high_emottsangry_1597_angry.wav,angry
392,data/train-custom\Dervla_high_emottsangry_1599_angry.wav,angry
393,data/train-custom\Dervla_high_emottsangry_1600_angry.wav,angry
394,data/train-custom\Dervla_high_emottsangry_1610_angry.wav,angry
395,data/train-custom\Dervla_high_emottsangry_1611_angry.wav,angry
396,data/train-custom\Dervla_high_emottsangry_1612_angry.wav,angry
397,data/train-custom\Dervla_high_emottsangry_1622_angry.wav,angry
398,data/train-custom\Dervla_high_emottsangry_1623_angry.wav,angry
399,data/train-custom\Dervla_high_emottsangry_1624_angry.wav,angry
400,data/train-custom\Dervla_high_emottsangry_1633_angry.wav,angry
401,data/train-custom\Dervla_high_emottsangry_1634_angry.wav,angry
402,data/train-custom\Dervla_high_emottsangry_1635_angry.wav,angry
403,data/train-custom\Dervla_high_emottsangry_1636_angry.wav,angry
404,data/train-custom\Dervla_high_emottsangry_1645_angry.wav,angry
405,data/train-custom\Dervla_high_emottsangry_1647_angry.wav,angry
406,data/train-custom\Dervla_high_emottsangry_1657_angry.wav,angry
407,data/train-custom\Dervla_high_emottsangry_1658_angry.wav,angry
408,data/train-custom\Dervla_high_emottsangry_1659_angry.wav,angry
409,data/train-custom\Dervla_high_emottsangry_1660_angry.wav,angry
410,data/train-custom\Dervla_high_emottsangry_1669_angry.wav,angry
